DECEMBER 2025 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,December 1-31 2025

SUMMARY
Total Signals Found,160
Actual Trades Taken,49
Signals Missed (blocked),111
Wins,7
Losses,40
Timeouts,2
Win Rate,14.3%
Initial Capital,$100
Final Capital,$47.73
Total P&L,$-52.27
Return,-52.3%

SIGNALS BY COIN
DOGEUSDT,Signals:44,Traded:29,Missed:15
NEARUSDT,Signals:72,Traded:18,Missed:54
ETHUSDT,Signals:44,Traded:2,Missed:42

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
139,NEARUSDT,2025-12-22 20:00:00,2025-12-22 20:15:00,$1.505000,$1.496964,-2.71%,1.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$52.70,$-2.81
140,NEARUSDT,2025-12-22 20:15:00,2025-12-23 02:45:00,$1.494000,$1.485536,-2.67%,-14.0%,LOSS,YES,,$527.00,$-2.99,$49.71,
141,DOGEUSDT,2025-12-25 22:45:00,2025-12-25 23:30:00,$0.123920,$0.123517,-2.49%,-138.1%,LOSS,YES,,$497.15,$-1.62,$48.10,
142,NEARUSDT,2025-12-25 22:45:00,2025-12-25 23:00:00,$1.460000,$1.454161,-2.67%,-84.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$48.10,$-1.92
143,NEARUSDT,2025-12-25 23:00:00,2025-12-25 23:30:00,$1.460000,$1.453732,-2.67%,12.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$48.10,$-2.06
144,NEARUSDT,2025-12-25 23:15:00,2025-12-25 23:30:00,$1.455000,$1.448625,-2.68%,5.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$48.10,$-2.11
145,DOGEUSDT,2025-12-25 23:30:00,2025-12-26 02:15:00,$0.123390,$0.125396,-2.37%,9.2%,WIN,YES,,$480.98,$7.82,$55.92,
146,NEARUSDT,2025-12-25 23:30:00,2025-12-26 02:00:00,$1.437000,$1.465714,-3.62%,-29.4%,WIN,NO,DOGEUSDT,(blocked),(blocked),$55.92,$11.17
147,NEARUSDT,2025-12-25 23:45:00,2025-12-26 02:00:00,$1.436000,$1.464714,-3.10%,4.3%,WIN,NO,DOGEUSDT,(blocked),(blocked),$55.92,$11.18
148,DOGEUSDT,2025-12-26 14:45:00,2025-12-26 15:00:00,$0.122600,$0.122192,-2.63%,-141.9%,LOSS,YES,,$559.17,$-1.86,$54.05,
149,ETHUSDT,2025-12-26 14:45:00,2025-12-26 15:00:00,$2916.380000,$2908.716071,-2.10%,-102.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$54.05,$-1.42
150,DOGEUSDT,2025-12-26 15:00:00,2025-12-26 16:45:00,$0.121640,$0.121168,-3.56%,-15.7%,LOSS,YES,,$540.55,$-2.10,$51.96,
151,NEARUSDT,2025-12-26 15:00:00,2025-12-26 17:30:00,$1.492000,$1.516857,-2.42%,-27.3%,WIN,NO,DOGEUSDT,(blocked),(blocked),$51.96,$8.66
152,ETHUSDT,2025-12-26 15:00:00,2025-12-26 20:45:00,$2902.550000,$2937.872857,-2.70%,-7.3%,WIN,NO,DOGEUSDT,(blocked),(blocked),$51.96,$6.32
153,DOGEUSDT,2025-12-26 15:15:00,2025-12-26 16:30:00,$0.122180,$0.121662,-3.02%,19.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$51.96,$-2.20
154,NEARUSDT,2025-12-26 15:15:00,2025-12-26 18:30:00,$1.495000,$1.521786,-2.22%,20.4%,WIN,NO,DOGEUSDT,(blocked),(blocked),$51.96,$9.31
155,ETHUSDT,2025-12-26 15:15:00,2025-12-26 16:45:00,$2917.350000,$2907.603750,-2.12%,26.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$51.96,$-1.74
156,DOGEUSDT,2025-12-26 15:30:00,2025-12-26 16:45:00,$0.122020,$0.121475,-3.10%,16.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$51.96,$-2.32
157,ETHUSDT,2025-12-26 15:30:00,2025-12-27 04:00:00,$2915.000000,$2929.980000,-2.06%,23.9%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$51.96,$2.67
158,DOGEUSDT,2025-12-26 15:45:00,2025-12-26 16:45:00,$0.122060,$0.121498,-2.38%,17.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$51.96,$-2.39
159,NEARUSDT,2025-12-29 09:30:00,2025-12-29 09:45:00,$1.539000,$1.532732,-2.78%,-63.3%,LOSS,YES,,$519.58,$-2.12,$49.84,
160,NEARUSDT,2025-12-29 09:45:00,2025-12-29 12:00:00,$1.542000,$1.535464,-2.28%,11.5%,LOSS,YES,,$498.42,$-2.11,$47.73,


ACTUAL TRADES DETAIL
Trade #,Coin,Entry Time,Exit Time,Entry Price,SL,TP,Exit Price,Result,Position Size,P&L,Capital Before,Capital After
1,DOGEUSDT,2025-12-01 15:30:00,2025-12-01 22:00:00,$0.132390,$0.131630,$0.135431,$0.135431,WIN,$1000.00,$22.97,$100.00,$122.97
2,NEARUSDT,2025-12-04 19:00:00,2025-12-04 19:15:00,$1.766000,$1.755446,$1.808214,$1.755446,LOSS,$1229.68,$-7.35,$122.97,$115.62
3,NEARUSDT,2025-12-04 19:15:00,2025-12-05 00:00:00,$1.766000,$1.754750,$1.811000,$1.811000,WIN,$1156.19,$29.46,$115.62,$145.08
4,NEARUSDT,2025-12-05 09:15:00,2025-12-05 09:30:00,$1.747000,$1.739661,$1.776357,$1.739661,LOSS,$1450.81,$-6.09,$145.08,$138.99
5,NEARUSDT,2025-12-05 09:30:00,2025-12-05 09:45:00,$1.739000,$1.731286,$1.769857,$1.731286,LOSS,$1389.86,$-6.17,$138.99,$132.82
6,NEARUSDT,2025-12-05 09:45:00,2025-12-05 11:30:00,$1.734000,$1.725911,$1.766357,$1.725911,LOSS,$1328.20,$-6.20,$132.82,$126.62
7,DOGEUSDT,2025-12-05 16:15:00,2025-12-05 16:30:00,$0.140640,$0.139811,$0.143955,$0.139811,LOSS,$1266.24,$-7.46,$126.62,$119.16
8,DOGEUSDT,2025-12-05 16:30:00,2025-12-05 19:00:00,$0.138210,$0.137257,$0.142022,$0.137257,LOSS,$1191.62,$-8.22,$119.16,$110.95
9,DOGEUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$0.135580,$0.135087,$0.137554,$0.135087,LOSS,$1109.46,$-4.04,$110.95,$106.91
10,DOGEUSDT,2025-12-07 14:30:00,2025-12-07 14:45:00,$0.135450,$0.134905,$0.137629,$0.134905,LOSS,$1069.08,$-4.30,$106.91,$102.61
11,DOGEUSDT,2025-12-07 14:45:00,2025-12-07 15:30:00,$0.135080,$0.134503,$0.137388,$0.137388,WIN,$1026.08,$17.53,$102.61,$120.14
12,DOGEUSDT,2025-12-07 21:45:00,2025-12-07 22:00:00,$0.139120,$0.138608,$0.141169,$0.138608,LOSS,$1201.39,$-4.42,$120.14,$115.72
13,DOGEUSDT,2025-12-07 22:00:00,2025-12-08 01:15:00,$0.137290,$0.136635,$0.139909,$0.139909,WIN,$1157.16,$22.07,$115.72,$137.79
14,ETHUSDT,2025-12-08 15:45:00,2025-12-08 18:45:00,$3099.690000,$3079.224107,$3181.553571,$3079.224107,LOSS,$1377.87,$-9.10,$137.79,$128.69
15,DOGEUSDT,2025-12-10 21:15:00,2025-12-10 22:00:00,$0.145620,$0.144154,$0.151485,$0.144154,LOSS,$1286.89,$-12.96,$128.69,$115.73
16,NEARUSDT,2025-12-11 00:30:00,2025-12-11 00:45:00,$1.726000,$1.713786,$1.774857,$1.713786,LOSS,$1157.32,$-8.19,$115.73,$107.54
17,NEARUSDT,2025-12-11 00:45:00,2025-12-11 01:15:00,$1.713000,$1.700625,$1.762500,$1.700625,LOSS,$1075.42,$-7.77,$107.54,$99.77
18,DOGEUSDT,2025-12-11 01:15:00,2025-12-11 01:45:00,$0.140450,$0.139621,$0.143767,$0.139621,LOSS,$997.73,$-5.89,$99.77,$93.88
19,NEARUSDT,2025-12-11 01:45:00,2025-12-11 02:00:00,$1.688000,$1.677071,$1.731714,$1.677071,LOSS,$938.82,$-6.08,$93.88,$87.80
20,ETHUSDT,2025-12-11 03:00:00,2025-12-11 14:30:00,$3179.310000,$3162.275893,$3247.446429,$3162.275893,LOSS,$878.03,$-4.70,$87.80,$83.10
21,NEARUSDT,2025-12-11 23:00:00,2025-12-12 00:00:00,$1.671000,$1.657982,$1.723071,$1.657982,LOSS,$830.99,$-6.47,$83.10,$76.63
22,NEARUSDT,2025-12-12 15:15:00,2025-12-12 15:30:00,$1.636000,$1.626304,$1.674786,$1.626304,LOSS,$766.25,$-4.54,$76.63,$72.08
23,DOGEUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$0.137430,$0.136836,$0.139806,$0.136836,LOSS,$720.84,$-3.12,$72.08,$68.97
24,DOGEUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$0.135520,$0.134784,$0.138464,$0.134784,LOSS,$689.68,$-3.75,$68.97,$65.22
25,DOGEUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$0.135950,$0.135113,$0.139299,$0.135113,LOSS,$652.22,$-4.02,$65.22,$61.20
26,DOGEUSDT,2025-12-12 16:30:00,2025-12-13 05:00:00,$0.134590,$0.133678,$0.138239,$0.137690,TIMEOUT,$612.05,$14.10,$61.20,$75.30
27,DOGEUSDT,2025-12-15 14:45:00,2025-12-15 15:00:00,$0.133540,$0.132887,$0.136150,$0.132887,LOSS,$753.02,$-3.68,$75.30,$71.62
28,DOGEUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$0.132650,$0.131931,$0.135526,$0.131931,LOSS,$716.22,$-3.88,$71.62,$67.74
29,DOGEUSDT,2025-12-15 15:15:00,2025-12-15 15:30:00,$0.130610,$0.129773,$0.133957,$0.129773,LOSS,$677.41,$-4.34,$67.74,$63.40
30,DOGEUSDT,2025-12-15 15:30:00,2025-12-15 16:00:00,$0.130980,$0.130077,$0.134591,$0.130077,LOSS,$634.01,$-4.37,$63.40,$59.03
31,DOGEUSDT,2025-12-15 16:00:00,2025-12-15 16:30:00,$0.130460,$0.129461,$0.134456,$0.129461,LOSS,$590.31,$-4.52,$59.03,$54.51
32,DOGEUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$0.128730,$0.127479,$0.133734,$0.127479,LOSS,$545.11,$-5.30,$54.51,$49.21
33,DOGEUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$0.126770,$0.125391,$0.132288,$0.125391,LOSS,$492.14,$-5.36,$49.21,$43.86
34,DOGEUSDT,2025-12-18 17:00:00,2025-12-18 17:15:00,$0.125210,$0.124090,$0.129691,$0.124090,LOSS,$438.58,$-3.92,$43.86,$39.93
35,DOGEUSDT,2025-12-18 17:15:00,2025-12-18 19:30:00,$0.122720,$0.121431,$0.127876,$0.121431,LOSS,$399.35,$-4.19,$39.93,$35.74
36,DOGEUSDT,2025-12-18 19:30:00,2025-12-19 03:15:00,$0.120640,$0.119468,$0.125329,$0.125329,WIN,$357.40,$13.89,$35.74,$49.63
37,NEARUSDT,2025-12-19 17:45:00,2025-12-20 06:15:00,$1.506000,$1.490893,$1.566429,$1.516000,TIMEOUT,$496.30,$3.30,$49.63,$52.93
38,NEARUSDT,2025-12-21 13:15:00,2025-12-21 13:30:00,$1.480000,$1.472500,$1.510000,$1.472500,LOSS,$529.26,$-2.68,$52.93,$50.24
39,NEARUSDT,2025-12-21 13:30:00,2025-12-21 13:45:00,$1.469000,$1.461179,$1.500286,$1.461179,LOSS,$502.44,$-2.68,$50.24,$47.57
40,NEARUSDT,2025-12-21 13:45:00,2025-12-21 22:30:00,$1.458000,$1.449696,$1.491214,$1.491214,WIN,$475.69,$10.84,$47.57,$58.41
41,NEARUSDT,2025-12-22 19:30:00,2025-12-22 19:45:00,$1.521000,$1.512857,$1.553571,$1.512857,LOSS,$584.05,$-3.13,$58.41,$55.28
42,DOGEUSDT,2025-12-22 19:45:00,2025-12-22 20:15:00,$0.131860,$0.131245,$0.134320,$0.131245,LOSS,$552.78,$-2.58,$55.28,$52.70
43,NEARUSDT,2025-12-22 20:15:00,2025-12-23 02:45:00,$1.494000,$1.485536,$1.527857,$1.485536,LOSS,$527.00,$-2.99,$52.70,$49.71
44,DOGEUSDT,2025-12-25 22:45:00,2025-12-25 23:30:00,$0.123920,$0.123517,$0.125531,$0.123517,LOSS,$497.15,$-1.62,$49.71,$48.10
45,DOGEUSDT,2025-12-25 23:30:00,2025-12-26 02:15:00,$0.123390,$0.122889,$0.125396,$0.125396,WIN,$480.98,$7.82,$48.10,$55.92
46,DOGEUSDT,2025-12-26 14:45:00,2025-12-26 15:00:00,$0.122600,$0.122192,$0.124233,$0.122192,LOSS,$559.17,$-1.86,$55.92,$54.05
47,DOGEUSDT,2025-12-26 15:00:00,2025-12-26 16:45:00,$0.121640,$0.121168,$0.123528,$0.121168,LOSS,$540.55,$-2.10,$54.05,$51.96
48,NEARUSDT,2025-12-29 09:30:00,2025-12-29 09:45:00,$1.539000,$1.532732,$1.564071,$1.532732,LOSS,$519.58,$-2.12,$51.96,$49.84
49,NEARUSDT,2025-12-29 09:45:00,2025-12-29 12:00:00,$1.542000,$1.535464,$1.568143,$1.535464,LOSS,$498.42,$-2.11,$49.84,$47.73


MISSED SIGNALS DETAIL
Missed #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,Result,Blocked By,Capital At Time,Hypothetical P&L,Hypothetical Capital After
1,ETHUSDT,2025-12-01 15:30:00,2025-12-01 21:15:00,$2725.970000,$2791.241429,WIN,DOGEUSDT,$122.97,$29.44,$152.41
2,ETHUSDT,2025-12-01 15:45:00,2025-12-01 16:00:00,$2745.010000,$2727.243571,LOSS,DOGEUSDT,$122.97,$-7.96,$115.01
3,ETHUSDT,2025-12-01 16:00:00,2025-12-01 22:00:00,$2725.260000,$2798.997857,WIN,DOGEUSDT,$122.97,$33.27,$156.24
4,ETHUSDT,2025-12-01 16:15:00,2025-12-01 22:00:00,$2733.770000,$2804.225000,WIN,DOGEUSDT,$122.97,$31.69,$154.66
5,ETHUSDT,2025-12-04 19:00:00,2025-12-04 19:15:00,$3088.530000,$3068.821071,LOSS,NEARUSDT,$115.62,$-7.38,$108.24
6,ETHUSDT,2025-12-05 16:15:00,2025-12-05 16:30:00,$3060.150000,$3038.329821,LOSS,DOGEUSDT,$119.16,$-8.50,$110.67
7,NEARUSDT,2025-12-05 16:30:00,2025-12-05 16:45:00,$1.675000,$1.658179,LOSS,DOGEUSDT,$110.95,$-11.14,$99.80
8,ETHUSDT,2025-12-05 16:30:00,2025-12-05 19:00:00,$3014.190000,$2990.263393,LOSS,DOGEUSDT,$110.95,$-8.81,$102.14
9,DOGEUSDT,2025-12-05 16:45:00,2025-12-05 18:30:00,$0.138710,$0.137691,LOSS,DOGEUSDT,$110.95,$-8.15,$102.80
10,NEARUSDT,2025-12-05 16:45:00,2025-12-06 05:15:00,$1.672000,$1.673000,TIMEOUT,DOGEUSDT,$110.95,$0.66,$111.61
11,ETHUSDT,2025-12-05 16:45:00,2025-12-05 17:30:00,$3031.690000,$3006.901964,LOSS,DOGEUSDT,$110.95,$-9.07,$101.87
12,DOGEUSDT,2025-12-05 17:00:00,2025-12-05 18:30:00,$0.138510,$0.137508,LOSS,DOGEUSDT,$110.95,$-8.03,$102.92
13,NEARUSDT,2025-12-05 17:00:00,2025-12-06 05:30:00,$1.670000,$1.672000,TIMEOUT,DOGEUSDT,$110.95,$1.33,$112.27
14,ETHUSDT,2025-12-05 17:00:00,2025-12-05 19:00:00,$3013.610000,$2989.325000,LOSS,DOGEUSDT,$110.95,$-8.94,$102.01
15,NEARUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$1.658000,$1.649268,LOSS,DOGEUSDT,$106.91,$-5.63,$101.28
16,ETHUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$2938.070000,$2925.457143,LOSS,DOGEUSDT,$106.91,$-4.59,$102.32
17,NEARUSDT,2025-12-07 14:30:00,2025-12-07 15:45:00,$1.649000,$1.687143,WIN,DOGEUSDT,$102.61,$23.73,$126.34
18,ETHUSDT,2025-12-07 14:30:00,2025-12-07 15:45:00,$2946.780000,$3003.090000,WIN,DOGEUSDT,$102.61,$19.61,$122.22
19,NEARUSDT,2025-12-07 14:45:00,2025-12-07 15:45:00,$1.645000,$1.684857,WIN,DOGEUSDT,$120.14,$29.11,$149.25
20,ETHUSDT,2025-12-07 14:45:00,2025-12-07 15:45:00,$2941.320000,$2999.451429,WIN,DOGEUSDT,$120.14,$23.74,$143.88
21,NEARUSDT,2025-12-07 21:45:00,2025-12-07 22:00:00,$1.720000,$1.710625,LOSS,DOGEUSDT,$115.72,$-6.31,$109.41
22,NEARUSDT,2025-12-07 22:00:00,2025-12-07 22:15:00,$1.704000,$1.693232,LOSS,DOGEUSDT,$137.79,$-8.71,$129.08
23,ETHUSDT,2025-12-07 22:00:00,2025-12-07 22:15:00,$3041.890000,$3028.254464,LOSS,DOGEUSDT,$137.79,$-6.18,$131.61
24,NEARUSDT,2025-12-07 22:15:00,2025-12-07 22:45:00,$1.701000,$1.690018,LOSS,DOGEUSDT,$137.79,$-8.90,$128.89
25,ETHUSDT,2025-12-07 22:15:00,2025-12-07 22:45:00,$3044.000000,$3030.013036,LOSS,DOGEUSDT,$137.79,$-6.33,$131.46
26,ETHUSDT,2025-12-07 22:30:00,2025-12-07 22:45:00,$3052.570000,$3037.827679,LOSS,DOGEUSDT,$137.79,$-6.65,$131.13
27,NEARUSDT,2025-12-07 22:45:00,2025-12-08 06:00:00,$1.695000,$1.746214,WIN,DOGEUSDT,$137.79,$41.63,$179.42
28,ETHUSDT,2025-12-07 22:45:00,2025-12-08 01:15:00,$3031.640000,$3099.489286,WIN,DOGEUSDT,$137.79,$30.84,$168.62
29,ETHUSDT,2025-12-10 21:15:00,2025-12-10 22:15:00,$3355.500000,$3321.914464,LOSS,DOGEUSDT,$115.73,$-11.58,$104.15
30,NEARUSDT,2025-12-10 21:30:00,2025-12-10 22:00:00,$1.793000,$1.771304,LOSS,DOGEUSDT,$115.73,$-14.00,$101.73
31,DOGEUSDT,2025-12-10 21:45:00,2025-12-10 22:15:00,$0.144490,$0.142987,LOSS,DOGEUSDT,$115.73,$-12.04,$103.70
32,NEARUSDT,2025-12-10 21:45:00,2025-12-10 22:15:00,$1.775000,$1.752929,LOSS,DOGEUSDT,$115.73,$-14.39,$101.34
33,DOGEUSDT,2025-12-11 01:00:00,2025-12-11 02:00:00,$0.140070,$0.139228,LOSS,NEARUSDT,$99.77,$-5.99,$93.78
34,NEARUSDT,2025-12-11 01:00:00,2025-12-11 01:15:00,$1.710000,$1.697571,LOSS,NEARUSDT,$99.77,$-7.25,$92.52
35,ETHUSDT,2025-12-11 01:00:00,2025-12-11 02:00:00,$3255.010000,$3239.676250,LOSS,NEARUSDT,$99.77,$-4.70,$95.07
36,NEARUSDT,2025-12-11 01:15:00,2025-12-11 01:45:00,$1.709000,$1.696946,LOSS,DOGEUSDT,$93.88,$-6.62,$87.26
37,NEARUSDT,2025-12-11 01:30:00,2025-12-11 01:45:00,$1.701000,$1.689536,LOSS,DOGEUSDT,$93.88,$-6.33,$87.55
38,ETHUSDT,2025-12-12 15:15:00,2025-12-12 15:30:00,$3151.190000,$3138.586250,LOSS,NEARUSDT,$72.08,$-2.88,$69.20
39,NEARUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$1.638000,$1.627393,LOSS,DOGEUSDT,$68.97,$-4.47,$64.50
40,ETHUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$3107.770000,$3091.228214,LOSS,DOGEUSDT,$68.97,$-3.67,$65.30
41,NEARUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$1.608000,$1.595143,LOSS,DOGEUSDT,$65.22,$-5.21,$60.01
42,ETHUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$3070.000000,$3050.245000,LOSS,DOGEUSDT,$65.22,$-4.20,$61.02
43,DOGEUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$0.135910,$0.135140,LOSS,DOGEUSDT,$65.22,$-3.69,$61.53
44,NEARUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$1.602000,$1.588661,LOSS,DOGEUSDT,$65.22,$-5.43,$59.79
45,ETHUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$3071.780000,$3050.946071,LOSS,DOGEUSDT,$65.22,$-4.42,$60.80
46,NEARUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$1.605000,$1.590696,LOSS,DOGEUSDT,$61.20,$-5.45,$55.75
47,ETHUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$3082.910000,$3060.380000,LOSS,DOGEUSDT,$61.20,$-4.47,$56.73
48,NEARUSDT,2025-12-12 16:30:00,2025-12-13 03:30:00,$1.592000,$1.652429,WIN,DOGEUSDT,$75.30,$28.58,$103.88
49,ETHUSDT,2025-12-12 16:30:00,2025-12-13 05:00:00,$3053.150000,$3088.490000,TIMEOUT,DOGEUSDT,$75.30,$8.72,$84.02
50,NEARUSDT,2025-12-12 16:45:00,2025-12-13 05:15:00,$1.598000,$1.650000,TIMEOUT,DOGEUSDT,$75.30,$24.50,$99.81
51,ETHUSDT,2025-12-15 14:45:00,2025-12-15 15:00:00,$3046.750000,$3032.128750,LOSS,DOGEUSDT,$71.62,$-3.44,$68.19
52,NEARUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$1.564000,$1.553607,LOSS,DOGEUSDT,$67.74,$-4.50,$63.24
53,ETHUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$3033.280000,$3016.855536,LOSS,DOGEUSDT,$67.74,$-3.67,$64.07
54,NEARUSDT,2025-12-15 15:15:00,2025-12-15 16:00:00,$1.537000,$1.524732,LOSS,DOGEUSDT,$63.40,$-5.06,$58.34
55,ETHUSDT,2025-12-15 15:15:00,2025-12-15 16:30:00,$3000.070000,$2981.782857,LOSS,DOGEUSDT,$63.40,$-3.86,$59.54
56,NEARUSDT,2025-12-15 15:30:00,2025-12-15 15:45:00,$1.541000,$1.528143,LOSS,DOGEUSDT,$59.03,$-4.93,$54.11
57,ETHUSDT,2025-12-15 15:30:00,2025-12-15 16:30:00,$3011.820000,$2992.524643,LOSS,DOGEUSDT,$59.03,$-3.78,$55.25
58,DOGEUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$0.130640,$0.129678,LOSS,DOGEUSDT,$59.03,$-4.35,$54.69
59,NEARUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$1.532000,$1.518179,LOSS,DOGEUSDT,$59.03,$-5.33,$53.71
60,ETHUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$3009.480000,$2988.685179,LOSS,DOGEUSDT,$59.03,$-4.08,$54.95
61,NEARUSDT,2025-12-15 16:00:00,2025-12-15 16:30:00,$1.530000,$1.515857,LOSS,DOGEUSDT,$54.51,$-5.04,$49.47
62,NEARUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$1.523000,$1.506018,LOSS,DOGEUSDT,$49.21,$-5.49,$43.73
63,ETHUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$2876.270000,$2850.022679,LOSS,DOGEUSDT,$49.21,$-4.49,$44.72
64,NEARUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$1.496000,$1.477732,LOSS,DOGEUSDT,$43.86,$-5.36,$38.50
65,ETHUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$2847.040000,$2819.148571,LOSS,DOGEUSDT,$43.86,$-4.30,$39.56
66,DOGEUSDT,2025-12-17 16:30:00,2025-12-17 19:00:00,$0.126540,$0.125118,LOSS,DOGEUSDT,$43.86,$-4.93,$38.93
67,NEARUSDT,2025-12-17 16:30:00,2025-12-17 18:45:00,$1.495000,$1.475982,LOSS,DOGEUSDT,$43.86,$-5.58,$38.28
68,ETHUSDT,2025-12-17 16:30:00,2025-12-17 18:45:00,$2845.510000,$2816.885179,LOSS,DOGEUSDT,$43.86,$-4.41,$39.45
69,DOGEUSDT,2025-12-17 16:45:00,2025-12-17 18:30:00,$0.127360,$0.125896,LOSS,DOGEUSDT,$43.86,$-5.04,$38.82
70,NEARUSDT,2025-12-17 16:45:00,2025-12-17 17:45:00,$1.512000,$1.492232,LOSS,DOGEUSDT,$43.86,$-5.73,$38.12
71,ETHUSDT,2025-12-17 16:45:00,2025-12-17 18:30:00,$2862.680000,$2833.241429,LOSS,DOGEUSDT,$43.86,$-4.51,$39.35
72,DOGEUSDT,2025-12-17 17:00:00,2025-12-17 18:30:00,$0.126800,$0.125290,LOSS,DOGEUSDT,$43.86,$-5.22,$38.63
73,ETHUSDT,2025-12-18 17:00:00,2025-12-18 17:15:00,$2856.120000,$2825.819464,LOSS,DOGEUSDT,$39.93,$-4.24,$35.70
74,ETHUSDT,2025-12-18 17:15:00,2025-12-18 19:30:00,$2822.010000,$2790.983036,LOSS,DOGEUSDT,$35.74,$-3.93,$31.81
75,DOGEUSDT,2025-12-18 17:30:00,2025-12-18 19:00:00,$0.123600,$0.122363,LOSS,DOGEUSDT,$35.74,$-3.58,$32.16
76,NEARUSDT,2025-12-18 17:30:00,2025-12-18 18:15:00,$1.529000,$1.507946,LOSS,DOGEUSDT,$35.74,$-4.92,$30.82
77,ETHUSDT,2025-12-18 17:30:00,2025-12-18 19:00:00,$2842.060000,$2812.214821,LOSS,DOGEUSDT,$35.74,$-3.75,$31.99
78,DOGEUSDT,2025-12-18 17:45:00,2025-12-18 19:00:00,$0.123560,$0.122363,LOSS,DOGEUSDT,$35.74,$-3.46,$32.28
79,NEARUSDT,2025-12-18 17:45:00,2025-12-18 18:15:00,$1.524000,$1.503000,LOSS,DOGEUSDT,$35.74,$-4.92,$30.82
80,ETHUSDT,2025-12-18 17:45:00,2025-12-18 19:00:00,$2844.450000,$2816.156250,LOSS,DOGEUSDT,$35.74,$-3.56,$32.19
81,NEARUSDT,2025-12-18 18:00:00,2025-12-18 18:15:00,$1.533000,$1.512482,LOSS,DOGEUSDT,$35.74,$-4.78,$30.96
82,NEARUSDT,2025-12-18 18:15:00,2025-12-18 18:45:00,$1.505000,$1.483946,LOSS,DOGEUSDT,$35.74,$-5.00,$30.74
83,NEARUSDT,2025-12-18 18:30:00,2025-12-18 18:45:00,$1.498000,$1.477268,LOSS,DOGEUSDT,$35.74,$-4.95,$30.79
84,NEARUSDT,2025-12-18 18:45:00,2025-12-18 19:30:00,$1.469000,$1.447839,LOSS,DOGEUSDT,$35.74,$-5.15,$30.59
85,NEARUSDT,2025-12-18 19:00:00,2025-12-18 19:45:00,$1.460000,$1.440768,LOSS,DOGEUSDT,$35.74,$-4.71,$31.03
86,NEARUSDT,2025-12-18 19:15:00,2025-12-18 19:30:00,$1.467000,$1.448304,LOSS,DOGEUSDT,$35.74,$-4.55,$31.19
87,NEARUSDT,2025-12-18 19:30:00,2025-12-18 19:45:00,$1.447000,$1.427446,LOSS,DOGEUSDT,$49.63,$-6.71,$42.92
88,DOGEUSDT,2025-12-18 19:45:00,2025-12-19 03:15:00,$0.120170,$0.124884,WIN,DOGEUSDT,$49.63,$19.47,$69.10
89,NEARUSDT,2025-12-18 19:45:00,2025-12-19 01:00:00,$1.428000,$1.407804,LOSS,DOGEUSDT,$49.63,$-7.02,$42.61
